scores,responses,labels
0.39080188679245287,Washington D.C.'s mayor exempted members of Congress who attended John Lewis' funeral in Georgia from a mandatory 14-day quarantine.,DC mayor is exempting from COVID-19 self-quarantine Congress members who attended John Lewis funeral
0.021645021645021644,"Giant trees made of silicon existed in the past and were cut down, taking with them the knowledge and wisdom of the planet.",Images show colossal ancient tree stumps
0.16666666666666666,Turkey-made Harop drones are effective against Russian-made S-300 air defense systems used by Armenia.,These photos show Russian-made air defence system destroyed in attack on Armenia in 2020.
0.1480516975308642,Calgary Mayor Naheed Nenshi admitted under oath that COVID-19 was a hoax and that he was ordered by the federal government to go along with it in exchange for money.,"Calgary mayor said Covid-19 is a ""hoax"""
0.16986301369863016,"Donald Trump is still working in the Oval Office after being re-elected in a historic landslide victory on November 3, 2020.",US attorney Lin Wood and Trump in Oval Office in April 2021
0.23250932835820892,"The World Health Organization lists the top 10 killer foods, with 8 found in the Philippines, including French fries, burgers, ice cream, iced tea, doughnuts, and sweetened pork.",World Health Organization publishes text graphic listing top 10 killer foods
0.09191176470588237,"The Department of Health recommends using face shields made of clear plastic or acetate material that provide good visibility, are fog-resistant, and have full face coverage.",Philippine department of health releases guideline on appropriate COVID-19 face shields
0.19379844961240314,Justin Trudeau proposes a 50% tax on the sale of homes.,Liberal Party of Canada plans to tax capital gains on home sales
0.2074418604651163,"COVID-19 test kits were exported and imported worldwide since 2017, and Finland imported them from Austria as early as 1990.",“World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018”
0.2446705426356589,"A fire destroyed City Blue Imaging Services in Rochester, NY, a company that printed ballots, including those with misprint errors sent to NYC.","Fire at Rochester, New York's City Blue Imaging linked to ballot fraud cover-up"
0.04728132387706856,"Russian military paratroopers have landed in Ukraine, near Kharkov, as part of a larger invasion strategy that includes destroying air bases and air defense systems, followed by targeting strategic locations and installations, and culminating in a massive ground and airborne invasion.",Thousands of Russian Army soldiers parachute into Ukraine.
0.0847457627118644,54-year-old American lady Rolanda looks 35,Photos of 75-year-old American woman
0.34598214285714285,The moon landing was faked because Neil Armstrong's astronaut suit does not match his footprints on the moon.,"Image shows mismatch between Neil Armstrong’s spacesuit and boot print left on the Moon, therefore Moon landing was a hoax"
0.06443298969072166,"Crime statistics in the USA for 2015 show that 2% of blacks were killed by whites, 1% of blacks were killed by police, 3% of whites were killed by police, 16% of whites were killed by whites, 81% of whites were killed by blacks, and 97% of blacks were killed by blacks.",United States crime statistics in 2015
0.11669203450025367,"Son Heung-min should be forgiven for his tackle on Andre Gomes, as it was not his intention to cause the injury.",Video of footballer Andre Gomes' ankle being pushed back into place
0.20499465811965809,Ukrainian citizens destroyed two Russian tanks using Molotov cocktails in Kiev as part of guerrilla warfare tactics against the Russian army.,A video shows Ukrainians destroying Russian tanks with Molotov cocktails
0.07142857142857142,Dis-Chem pharmacies are available to shop online,Dischem pharmacy mocks rival over racism row
0.025445292620865142,"Drinking warm water with ginger, lemon, and honey, or using home remedies like lengana, Bloukop boom leaves, and Vicks, can help cure COVID-19, and self-quarantine at home is more effective than going to the hospital.",South Africans can refuse COVID-19 isolation
0.09523809523809523,"A father in Soweto tracked down and brutally punished the man who raped his 3-year-old daughter by cutting off the rapist's penis, cooking it, and forcing him to eat it.",Soweto father who tortured his daughter’s rapist
0.24338624338624337,Areas affected by Australian bushfires are experiencing regrowth and blooming again,Photos of regrowth after Australian bushfires
0.5215114104002992,The 2020 Lanka Premier League was ranked as the biggest global sporting event of the year.,Sri Lanka's LPL ranked as biggest global sporting event of 2020
0.10302197802197802,French citizens are planning anti-lockdown and anti-government demonstrations on Bastille Day to oppose President Macron's vaccination passport requirements,Photo shows recent anti-lockdown and anti-vaccination protests organised in France.
0.5009920634920636,Hydroxychloroquine is effective against COVID-19.,Fauci is alone in saying hydroxychloroquine unproven against COVID-19
0.30241935483870974,A 23-year-old Kenyan man killed his 4-month-old son after doubting his paternity.,Video shows Kenyan man killing his baby
0.14893617021276598,"Salvador Ramos, an 18-year-old Hispanic transgender individual, shot and killed 18 children and 1 teacher at an elementary school in Texas.","The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”"
0.35206752858211343,"A small group of wealthy individuals, including those associated with the Federal Reserve Bank, control the country.",Federal Reserve is owned by a small group of banking families
0.13285714285714284,First Lady Melania Trump wore a dress designed by Alexander McQueen to the Mount Rushmore Ceremony that reflects her love of children and care for those who are abused.,Melania Trump's dress featured drawings by child abuse victims
0.3890041493775933,"Next week will have a time change, a full moon, and Friday the 13th, potentially leading to unusual or chaotic events.","Time change, full moon and Friday the 13th happening in same week of March 2021"
0.1532242289887201,French soccer player Paul Pogba has quit playing for the French national team due to comments made by the French president that were perceived as insulting to Muslims and the Prophet Muhammad.,Paul Pogba quit France’s national football team over president’s remarks on Islam
0.07092198581560284,"Biden's hand passed through a grey microphone, suggesting a fake or manipulated video",Biden faked an interaction with reporters
0.0,मुस्लिम समुदाय ने दिल्ली के सीलमपुर में बाबा साहेब अंबेडकर की प्रतिमा को नुकसान पहुंचाया,Photos show that Muslims vandalise Baba Saheb Ambedkar statue in Delhis Seelampur.
0.21657250470809788,An animal threw itself into the water to escape the Amazon fire,Photo of a jaguar rescued from the 2019 Amazon fire
0.27370689655172414,Vaccine trials on Africans had negative results and no one has been held accountable.,This photo shows the aftermath of vaccine trials on Africans
0.08064516129032258,"A doctor's office in Aberglasslyn had patients who may have been exposed to Coronavirus, and a parent was asked to wait after bringing their 3-month-old son in for an appointment.",Novel coronavirus exposure at a doctor’s office in this Australian town
0.3381818181818182,"95% of the ocean's plastic pollution comes from just ten rivers, all of which are in Asia or Africa.",90 percent of plastic in the world's oceans comes from ten rivers
0.2608471074380165,An 80-year-old couple with coronavirus said their goodbyes in the ICU.,Elderly Chinese couple hold hands in hospital after they were infected with coronavirus
0.5077551020408162,Russian President Vladimir Putin arrives in South Africa for the 10th BRICS Summit,Russian leader Putin in South Africa for summit
0.17543859649122806,It is raining in Australia,This photo shows kangaroos rejoicing in the rain during the Australian bushfires
0.32029478458049887,"Eating three carrots provides enough energy to walk three miles and they were initially grown for medicinal purposes, not as food.",Three carrots give you energy to walk three miles
0.01506024096385542,"Epstein's former pilot testified that high-profile individuals, including Prince Andrew, Bill Clinton, Donald Trump, Justin Trudeau, John Glenn, and Kevin Spacey, flew on Epstein's private plane.",Screenshot shows Trudeau was named in Maxwell trial
0.10373443983402489,"Christians are being persecuted in Afghanistan, with some being tied in nylon bags and left to die slowly for refusing to deny Jesus Christ.",Taliban leave Christians to die in bags
0.06097560975609756,180 arsonists have been caught for lighting fires,180 people so far charged with arson during Australian bushfires
0.453125,"Trupti Desai, a social activist, was arrested for buying liquor illegally during lockdown.",Indian activist Trupti Desai arrested for buying alcohol during COVID-19 lockdown
0.10838150289017341,Governments will use the military to forcibly vaccinate people as part of a bioweapon-related third world war.,UN trucks stationed in front of a pharmaceutical company in Toronto
0.05714285714285714,Society remains silent when black people die but is outraged when they protest or speak out.,"Photo shows US basketball star LeBron James wearing a shirt that read: “WE DIE, y’all silent”"
0.04672897196261682,"If you believe an unvaccinated person is a risk to a vaccinated person, then you don't really believe in vaccines.",Unvaccinated children pose no threat to anyone
0.16788563829787234,"Thousands of children are being trafficked and abused in the US, with many being held in privately-owned facilities.",Images of children caged by human traffickers.
0.23622047244094488,Pakistani and Indian armies celebrate together at the Kartarpur corridor opening ceremony,Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019
0.06369426751592357,"A Spanish athlete, Ivan Fernandez, selflessly pushed a Kenyan runner, Abel Mutai, to win a race after Mutai stopped prematurely, thinking he had already crossed the finish line.",Photo of runners Abel Mutai and Ivan Fernandes
0.10256410256410256,Switzerland has low gun violence rates due to its policies of giving and training citizens in the use of guns.,Switzerland gives every citizen a gun
0.36771924083769636,Stanford University study found that masks are ineffective against COVID-19 transmission and can cause health deterioration and premature death.,Stanford study found masks are ineffective to block transmission of Covid-19
0.0,Gargling with warm water and salt or vinegar can eliminate the coronavirus.,Photo shows child wounded in Russia invasion of Ukraine
0.17383177570093458,"Saunas can help prevent the spread of COVID-19, which is why it can't survive in many places in Africa.",Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19
0.15503875968992248,NATO is providing support to Ukraine in its conflict with a dictator.,NATO train ferrying armoured vehicles and military cargo to war in Ukraine
0.0,Gargling water can protect against coronavirus,A rail freight tanker had “COVID-19” stamped on one side
0.04901960784313726,Ukrainian Christians are praying for their country amidst war danger,Photograph shows people in Ukraine praying amid increased tensions with Russia.
0.418656187886957,"A factory in Melbourne is stockpiling and exporting large quantities of essential goods, including baby formula, toilet paper, and medicine, to China.","A factory full of baby formula, toilet paper and other supplies for export to China"
0.04065040650406504,Drinking warm water and gargling with salt or vinegar can eliminate coronavirus.,These are advices on coronavirus prevention
0.1694915254237288,Pink dye is being used to save animals by making ivory unsellable,Ivory tusks and horns are dyed pink to prevent poaching
0.8081896551724137,"Bill Gates' polio vaccine paralyzed 490,000 children in India.","Bill Gates' foundation tested a polio vaccine in India that left at least 490,000 children paralyzed"
0.17567466547058386,"Australia provides various benefits, including a job, driver's license, health card, welfare, and more, to individuals who cross its border illegally.","Illegally enter Australia and get a job, $70,000 and welfare"
0.10563380281690142,"Mosque and Islamic school in Pakistan were burned, resulting in many Muslim casualties.",Images show deadly mosque blaze in Pakistan
0.20947176684881602,"132,000 votes in Fulton County, Georgia are highly likely ineligible due to change of address, which could change the outcome of the election.","132,000 ballots from Georgia's Fulton County may be ineligible"
0.044843049327354265,"Team Step One, led by Dr. Monica Bhagat, arranges plasma for those in need in Delhi immediately and free of cost.",NGO providing free Plasma to covid patients
0.12944983818770225,"Biden is not beloved in the nation and had low TV ratings for his speech to Congress, with only 11.6 million viewers, compared to Trump's 37.2 million in 2020.",President Joe Biden’s address to Congress had 11.6 million viewers
0.17151379567486946,"The Biden administration proposes a per-mile user fee, estimated to be 8 cents per mile, as part of the Build Back Better plan, which would increase driving costs.",Biden Administration Is Implementing A Per-Mile ‘Driving Tax’
0.05226480836236933,"A company is offering equipment and resources to assist fire crews and support the community in Southern Oregon, and is also encouraging donations to local food banks and shelters.",An image shows the 2020 wildfires in Oregon
0.13020833333333334,People who have been vaccinated cannot donate blood plasma because the vaccine eliminates the body's natural antibodies.,American Red Cross does not accept plasma donations from Covid-19 vaccine recipients
0.10204081632653061,Election fraud and voting irregularities in key battleground states have erased Biden's lead.,"About 100,000 votes cast in the US state of Nevada were fraudulent"
0.43088573619631904,Obama suggested that voting in person is too dangerous and advocated for mail-in voting.,“At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.”
0.0,Africans demand respect from others to receive respect in return,Chinese man fights with Kenyan worker
0.4866757000903343,Using a cell phone or holding it while driving can result in a $999 fine and a 3-year suspended license as of January 2020.,$999 fine and 3-year suspended license as of January 2020.
0.3166285569105691,"Waleed Aly allegedly praised an African gang for assaulting a young girl at a train station, saying they were standing up to white privilege.",Australian TV host Waleed Aly applauds African gang for assaulting young girl
0.12583892617449666,Two blasts near Kabul Airport resulted in over 16 deaths and more than 30 injuries.,Video of Kabul airport explosions
0.10638297872340426,Hundreds of Muslims are protesting to stop poojas at Kali Matha Mandir in Kolkata.,Muslims protesting against temple in Kolakata
0.3872053872053872,Donald Trump receives a perfect welcome,A livestream of Donald Trump attending a parade in March 2021.
0.09776536312849163," Australians are advised to contact the communicable disease control branch directly if they feel unwell, instead of going to a medical centre or hospital, and a doctor will visit their residence for a free check-up.",Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits
0.0,Uber is in conflict with a group of people,UberBus coming to South Africa
0.052356020942408384,Children can be radicalized and demographic change above 30% can lead to a significant impact on the country.,"This Video Is Taken From Sarvodaya Mandir, Ghatkopar, Mumbai"
0.053475935828877004,"Caucasian men with athletic builds, possibly directing protesters, were seen using vehicles with similar license plate numbers.",Foreign commanders spotted directing Hong Kong protests
0.3221760321100917,"Nancy Pelosi spends $5,760,000 annually on fuel for her weekly flights from Washington D.C. to California using a 200-seat Boeing 757.",Nancy Pelosi flies to California every weekend on a Boeing 757
0.4134871890315776,Nigerian Senate Vice President beaten in Germany by compatriots for seeking medical care abroad while Nigerians lack access to quality healthcare,Nigerian vice president attacked while seeking medical care in Germany
0.4362139917695474,US President Joe Biden kneels before George Floyd's son to ask for forgiveness,Biden kneels in front of George Floyd's son
0.14492753623188406,There were nearly four million more votes cast in the 2020 US election than reported in the 2020 census data.,“U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.”
0.06622516556291391,"Snakes eat anything, including large prey like an AK, by swallowing it whole.",Image shows snake that swallowed a rifle
0.8132201806290875,Marjorie Taylor Greene said that people who have never died before are now dying.,"Says Marjorie Taylor Greene said, “People are dying who have never died before.”"
0.5037252996436669,The Statue of Liberty in New York is veiled in the Ukraine flag,New York Statue of Liberty wrapped in Ukrainian flag
0.06369426751592357,Drinking water and gargling with warm water and salt or vinegar can eliminate the coronavirus.,Elderly Chinese couple hold hands in hospital after they were infected with coronavirus
0.3744741586538462,"International Civil Aviation Authority has barred Pakistan from issuing licenses to pilots, crew, or engineers due to safety concerns.",International Civil Aviation Organisation bars Pakistan from issuing pilots licences
0.05338078291814947,"Yogi Ji adopted a child who lost their parents and mama, and took responsibility for their food and education from the CM fund until they get a job.",Yogi Adityanath provides for orphan child at Diwali celebrations in 2019
0.13006993006993006,"A video has surfaced showing Kenyan special police storming an airplane to abduct Nnamdi Kanu, contradicting the Kenyan government's previous denials of involvement in his rendition to Nigeria.",Photos show Kenyan police arresting Nnamdi Kanu
0.1740362811791383,"The COVID-19 vaccine is causing the creation and spread of mutant variants, and the vaccinated, not the unvaccinated, are responsible for this.","Covid-19 vaccine recipients are spreading variants and ""creating"" mutations"
0.27865168539325846,Australia has introduced a new law where drivers who touch their phone while driving or with the engine running will have their license revoked for three months.,New Australian law passed in Parliament which revokes licenses from drivers who touch their phone
0.1234567901234568,A Ukrainian child is fleeing war in Ukraine,Video shows Ukrainian refugee boy walking in Poland alone
0.3472222222222222,The Keystone pipeline and lithium mine have significant environmental impacts.,Photo shows Keystone Pipeline compared to a lithium mine
0.020746887966804982,A proposed US House resolution aims to track citizens' movements and send health officials to their homes as part of COVID-19 mitigation efforts.,"$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”"
0.0,The government only took guns away from law-abiding citizens.,Image shows New Zealand PM Jacinda Ardern hugging gang member
0.8627717391304347,Finland is moving military equipment to its eastern border,Finland is moving military equipment to the eastern border with Russia
0.48728186926944694,The 2020 Lanka Premier League is the biggest global sporting event of the year,Sri Lanka's LPL ranked as biggest global sporting event of 2020
0.5208333333333334,"The Sleeping Lady Mountain is located about 33 miles northwest of Anchorage, Alaska.","Image of Sleeping Lady Mountain near Anchorage, Alaska"
0.09523809523809525,Fireflies can be photographed in trees using long exposure times.,Images show artwork created using fireflies
0.300396383325993,"Fake cashew nuts made in Kerala, India, are being sold at a low cost, made from a mixture of maida and chemicals, mimicking the taste of real cashew nuts.","Fake cashew nuts made from flour and chemicals in Kerala state, India"
0.17118863049095606,The Biden administration is funding programs that distribute crack pipes to prevent infection and promote racial equity.,US government to provide free crack pipes to drug users
0.3912280701754387,Suicide rates have increased by 200% since the start of lockdown,Suicides up 200% since lockdown
0.0,Jinnah was always right and a brave girl showed courage,Indian journalist Rana Ayyub arrested at protest
0.13071895424836602,"Lightning can strike anywhere, even in a stream, and its power is awe-inspiring.","Video shows lightning strike in Montana, the US"
0.05769230769230768,"Sri Lankan authorities are forcibly cremating people who died of COVID-19, despite cremation being a risk for COVID-19 transmission and other countries opting for burials instead.",Los Angeles county suspended cremation of Covid-19 fatalities
0.48677248677248675,50 Cent and Ice Cube have endorsed Donald Trump.,Ice Cube and 50 Cent wear Trump hats in a photo of the two rapper/actors
0.39917853934026437,Ukrainian Christians are praying and fasting for their country in the face of war danger.,A photo shows Ukrainians praying in the snow 'in this phase of war danger'
0.06993006993006992,Human activities do not have the power to change the climate of the Earth.,Volcanoes emit more CO2 than man made emissions
0.2952064546748932,A video called 'Argentina is doing it' on WhatsApp can hack a phone in 10 seconds and cannot be stopped.,WhatsApp video hacks your phone in 10 seconds
0.23350785340314137,"A new Medicare Flex Card may help older Americans cover costs of groceries, medical appointments, and prescriptions.",Seniors can get their Medicare Flex Card for a limited time
0.3599374021909233,The Philippine coins have a new design,Marcos-era coins back in circulation in the Philippines
0.14973092750870529,"There was a large protest in Berlin against COVID-19 lockdowns and tyranny, with estimates ranging from 20-25,000 to 800,000 to 1.3 million attendees, and meanwhile in Australia, the majority of people are complying with restrictive measures.",A Facebook post about an anti-COVID-19 restrictions protest in Berlin uses a photograph that is not from the protest but instead from a Swiss dance party held in 2019.
0.1342281879194631,Sales of Pfizer's Vyndamax drug for myocarditis treatment are up 77% in the US,Pfizer drug Vyndamax treats myocarditis
0.46668667466986796,Amazon sprays all its cardboard boxes with toxic pesticides that can harm cats.,"Amazon sprays its shipping boxes with ""toxic pesticides"""
0.0646551724137931,The Spanish Dancer Jellyfish is a species of vibrant jellyfish found in the lagoon surrounded by the Tami Islands atoll near Papua New Guinea.,Image shows a 'Spanish Dancer Jellyfish'
0.12445887445887445,"Several COVID-19 updates have been reported, including a 56% false positive rate for PCR tests in Manitoba, no outdoor spread of the virus according to the CDC, cancellation of the AstraZeneca vaccine in Ontario due to injuries, vaccines causing significant illnesses as reported by the Salk Institute, and lockdowns having no benefits as reported by the University of British Columbia.",Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit
0.32608695652173914,"The US had the lowest unemployment rate in history without using taxpayer money, so a $4 trillion jobs plan is unnecessary.",America had the lowest unemployment rate in history a year ago in April 2020
0.539568345323741,Pakistani government appoints a famous dancer as a member of the Pakistan Medical Commission,A dancer is nominated by the Pakistani government for the Pakistan Medical Commission
0.1234567901234568,India has a sharia-free zone at its border,Road sign with anti-Muslim message at the India-Pakistan border
0.1897959183673469,"Nepal shot down an Indian Air Force fighter jet that violated Nepalese airspace, killing 2 Indian Air Force pilots.",Nepal shoots down intruding Indian fighter jet
0.07407407407407407,Canadian Prime Minister Justin Trudeau stated that the pandemic is an excuse for a ,Trudeau is part of global 'Great Reset' conspiracy
0.06976744186046512,Ukrainian citizens used molotov cocktails to destroy two Russian tanks in Kiev as part of guerrilla war tactics against the Russian army.,Video shows Russian tank torched in Ukraine conflict
0.05405405405405406,"The Australian government and police are allegedly trying to censor protests in Melbourne by imposing a media blackout and blocking Facebook live streams, and the situation in Victoria is being compared to the potential future situation in Queensland.","An image of construction workers protesting in Melbourne, Australia"
0.2197880870561283,The Golden Temple in Amritsar has a beautiful view with lanterns in the sky reflected in the surrounding sarovar.,Real photo of India’s Golden Temple at Amritsar with floating sky lanterns
0.10314542483660132,"The COVID-19 vaccine is causing sudden deaths, heart issues, and other health problems in adults and children, and this information is being hidden by the government and pharmaceutical companies.",SADS is an adverse effect of the Covid-19 vaccine
0.176056338028169,The George Floyd event was staged to create racial tensions and drive a wedge in the growing group of anti-deep state sentiment.,George Floyd's death was staged
0.08620689655172413,"If Nancy doesn't trust the vaccination, why should you?",Cap on when Nancy Pelosi got Covid-19 vaccine
0.111044776119403,"The Indian Council of Medical Research (ICMR) New Delhi has issued guidelines to prevent the spread of COVID-19, including postponing travel abroad, avoiding crowded places, and following social distancing norms.",COVID-19 guidelines from India’s top medical research body ICMR
0.06097560975609757,"A 3-month-old child's parent was told at Aberglasslyn Doctors that three Asians had previously been at the clinic who may have been exposed to coronavirus, prompting the parent to cancel their appointment.",Novel coronavirus exposure at a doctor’s office in this Australian town
0.08,"A Christian man in Syria is sentenced to death for preaching the gospel and is at peace with his impending execution, trusting in his faith.",Image of gospel preacher executed in Syria
0.48822605965463106,Marvin Hagler's death was linked to the COVID-19 vaccine he received.,Deaths of Hank Aaron and Marvelous Marvin Hagler were linked to COVID-19 vaccine
0.278374507697816,The US Infrastructure Bill includes a provision to tax a person's entire accumulated wealth and estate at 61% upon their death.,Infrastructure bill includes 61 percent tax on assets after a person dies
0.3537735849056604,Cyclone causes landslide in Meghalaya,This video shows landslide in north-eastern India.
0.13489208633093525,Vladimir Putin's actions have shattered Europe's dreams of peace and stability.,A photo shows a Time magazine cover comparing Vladimir Putin to Adolf Hitler
0.6928104575163399,An explosion occurred at a Saudi Aramco refinery,A video is showing footage from an explosion in a Saudi Aramco refinery
0.32206632653061223,"The value of Ghana cedis is 59,000 to $1","Ghanaian cedi now 59,000 to the US dollar"
0.4323630136986301,A man in Johannesburg had his car stripped by robbers in just 3 hours.,A car stripped of its parts in three hours in Johannesburg
0.11173184357541899,"Donald Trump made a speech denigrating Africans, calling them stupid, lazy, and inferior to whites.",Trump author of speech disparaging Africans and Arabs
0.24752475247524755,US is killing Arabs and silencing them,"A picture of some protestors carrying some placards is doing the rounds on the internet. The text on one of the placards read, 'We are not Arabs, to kill us and keep silent'."
0.0970873786407767,Donald Trump's Facebook and Instagram accounts have been restored.,Trump reinstated to Facebook
0.2952755905511811,Samia Suluhu Hassan is the first female head of state in East Africa,Photo of Tanzanian president Samia Suluhu Hassan and her daughter
0.7295331925873797,Nancy Pelosi will resign if the impeachment fails,"Nancy Pelosi said, ""If impeachment fails, I will resign immediately."""
0.0,Support for the Pakistan Army,Video shows impressive Pakistani paratroopers
0.5662393162393162,Typhoon Hagibis hit Hachijo Jima,Video shows Typhoon Hagibis hitting Japanese island
0.05555555555555555,"Drinking water and gargling with warm water, salt, or vinegar can eliminate coronavirus from the throat.","More than 300,000 infected with novel coronavirus in China"
0.3407407407407408,Ukrainian Christians are praying and fasting for their country during a time of war danger,A photo shows Ukrainians praying in the snow 'in this phase of war danger'
0.017452006980802792,"Joe Biden was a war hero, rescued his regiment, captured 3000 enemy soldiers, awarded the Medal of Honor, was a Rhodes Scholar, graduated top of his Harvard Law School class, built a multi-million dollar law firm, and created NASA, the Peace Corps, the Department of Homeland Security, and passed 11 balanced budgets.",List of Biden accomplishments is true
0.27354805841729873,"A 30-year-old man's remains were found in Pompeii, and he appeared to have survived the initial eruption of Vesuvius only to be killed by a falling stone slab.",Man in Pompeii killed after being struck by a large slab of stone
0.0972222222222222,"Simplot Australia, the only Australian manufacturer of frozen Australian grown vegetables, is at risk of closing due to competition from other brands that have moved their plants to New Zealand to capture the Chinese vegetable market.",Simplot plans to close down Australian frozen vegetable manufacturing
0.1652892561983471,"The Beirut explosion was caused by a missile attack, not an accident",Missile caused Beirut blast
0.5737575182019625,mRNA vaccines dramatically increase the risk of developing heart diseases from 11% to 25%,This study proves mRNA vaccines dramatically increase risk of developing heart diseases
0.0,"The shooter, Robert ""Awake"" Crimo, has liberal political views.",Instagram page showing antifa symbol belongs to Illinois shooting suspect
0.06329113924050632,South Africa is facing a lawsuit,"Members of ""World Doctors Alliance"" make multiple claims about severity of Covid-19 pandemic, including that it's a ""normal flu"""
0.12152777777777776,Calling Enfamil or Similac customer service and reporting a formula shortage will result in the state sending a free 6-pack of 12 oz formula cans to the caller's address.,Enfamil and Similac will send parents free baby formula
0.34845496383957925,"Wearing masks can cause fungal lung infections, and taking breaks from masks can help prevent this.",Face masks can cause fungal lung infections
0.35866477272727276,Kenyans first heard music from a speaker in 1932,First time Kenyans or Nigerians heard music
0.15625,Isko Moreno and hospital staff allegedly violated COVID-19 protocols during his admission to a hospital while he was COVID-19 positive.,Photo of Philippine mayor Isko Moreno Domagoso taken after testing positive for Covid-19
0.42487957916085695,"The phrase 'How To Hit A Woman So No One Knows' was searched on Google 163 million times in 2020, while 'He will kill me' was searched 107 million times.",How To Hit A Woman So No One Knows was Googled 163 million times during 2020
0.27747055811571936,"The Keystone pipeline was cancelled by Biden on his first day in office because Warren Buffet, who owns the railroad transporting the oil, donated $58 million to Biden's campaign and would lose billions in transport fees if the pipeline was completed.",Says Joe Biden canceled the Keystone pipeline because Warren Buffett “donated $58 million” to his campaign.
0.2191840277777778,French protests against mandatory vaccination and passport orders are being ignored by the BBC.,Photo shows 2021 protest against vaccine passports in Paris
